transliteration,normalization,sign_names,remarks
Mi-šu-a-bi-NIIR,Mišuʾabir[]PN,MI ŠU A BI NIIR,
Mi-šu-a-bi-ir,Mišuʾabir[]PN,MI ŠU A BI IR,
Mi-da-a,Mida[]PN,MI DA A,"or, Midaʾa/Midaya?"
Mi-da-nu-um,Midanum[]PN,MI DA NU UM,Martu
Mi-da-num₂,Midanum[]PN,MI DA LUM,
Mi-gir-{d}NIN.LIL₂-tum,MigirMulliltum[]PN,MI HA@G AN SAL TUG₂ KID TUM,uncertain
Mi-il-ga-nu-um,Milganum[]PN,MI IL GA NU UM,Martu
Mi-il₈-ga-nu-um,Milganum[]PN,MI |IL×GAN₂@T| GA NU UM,SAT 2 0724 r iii 4: Mi-il8!?-ga-nu-um mar-tu (no copy/photo)
Mi-im-mi,Mimmi[]PN,MI IM MI,
Mi-it-ha-ar-iš-ta,Mithariš[]PN,MI A₂ HA IGI RI IŠ TA,
Mi-it-har-iš,Mithariš[]PN,MI A₂ |HI×AŠ₂| IŠ,
Mi-it-har-iš-ta,Mithariš[]PN,MI A₂ |HI×AŠ₂| IŠ TA,
Mi-ki-a,Mikiʾa[]PN,MI KI A,
Mi-na-nu-um,Minanum[]PN,MI NA NU UM,
Mu-GIR₃-ir,Mu.GIR₃.ir[]PN,MU GIR₃ IR,< magāru D?; ASJ 15 141 19 o 11 (no copy/photo)
Mu-šu-hur-da,Mušuhurda[]PN,MU ŠU |HI×AŠ₂| DA,< Habura
Mu-šub-be₂,Mušube[]PN,MU RU BI,hypo?
Mu-da-num₂,Mudanum[]PN,MU DA LUM,Martu
Mu-da-pa₂-li₂-lum,Mudapalilum[]PN,MU DA BA NI LUM,
Mu-ki-iš{ki},Mukiš[]SN,MU KI IŠ KI,
Mu-ku,Mu.KU[]PN,MU KU,BCT 1 130 o 7 (copy/photo)
Mu-ku-ni,Mu.KU.X[]PN,MU KU NI,MVN 15 142 r 4 (possibly NI; copy/photo)
Mu-mu,Muŋu[]PN,MU MU,Mumu?
Mu-mu-a,Mumuʾa[]PN,MU MU A,
Mu-ni,Muni[]PN,MU NI,hypo?
Mu-ni-mah,Munimah[]PN,MU NI MAH,
Mu-ra-nu-um,Muranum[]PN,MU RA NU UM,Martu
Mu-ra-num₂,Muranum[]PN,MU RA LUM,
Mu-ri-,MuriqTidnim[]SN,MU RI,part of SS 04 year-name
Mu-ri-a-na-ba-ak,Muriʾanabak[]PN,MU RI A NA BA AK,Elamite?
Mu-ri-ig-Ti-id-ni-im,MuriqTidnim[]SN,MU RI IG TI A₂ NI IM,
Mu-ri-iq,MuriqTidnim[]SN,MU RI IG,part of SS 04 year-name
Mu-ri-iq-Ti-id-ni-im,MuriqTidnim[]SN,MU RI IG TI A₂ NI IM,
Mu-ri-iq-Ti-id-nim,MuriqTidnim[]SN,MU RI IG TI A₂ NIM,
Mu-ri-na-ba,Murinaba[]PN,MU RI NA BA,"cf, {d}Nanna(-e)-mu-ri-na-ba"
Mu-ru-PI,Mu.ru.PI[]PN,MU RU PI,BIN 3 551 r 2 (copy)
Mu-tab-bil,Mutabbil[]PN,MU TAB NE,BIN 3 546 o 15 (BIL2 not BIL; copy)
Mu-ur₂-ti-ga-ba,Murtingaba[]PN,MU UR₂ TI GA BA,
Mu-ur₂-ti-gaba,Murtingaba[]PN,MU UR₂ TI GABA,
Mu-ur₂-tin-ga-ba,Murtingaba[]PN,MU UR₂ DIN GA BA,
Mu-ur₂-tin-gaba,Murtingaba[]PN,MU UR₂ DIN GABA,
NAG-su{ki},Naŋsu[]SN,|KA×A| SU KI,
NAG-su{ki}-ke₄,Naŋsu[]SN,|KA×A| SU KI KID,
NAG-su{ki}-ta,Naŋsu[]SN,|KA×A| SU KI TA,
NE-NE-a,Bibiʾa[]PN,NE NE A,"uncertain; cf, Bi2-i3-bi2-a"
NE-ga-KUM-ta,NE.ga.GUM[]PN,NE GA GUM TA,Biqaqum?
NE-ga-num₂,NE.ga.LUM[]PN,NE GA LUM,Biqaqum?
NE-gu₇-bi,Bigubi[]PN,NE |KA×GAR| BI,
NE-gu₇-ne,Bigubi[]PN,NE |KA×GAR| NE,
NE-iš-a-tal,Tišatal[]PN,NE IŠ A RI,Hurrian
NE-mu-ša-ni-mu,Bimušanimu[]PN,NE MU ŠA NI MU,Martu
NE-ri-iš-a-tal,Tirišatal[]PN,NE RI IŠ A RI,
NE-ti-ti,Bititi[]PN,NE TI TI,
NE-za-ti,Bizati[]PN,NE ZA TI,= Bizatum?
NE-zi-lum,Bizinum[]PN,NE ZI LUM,= Bizanum?
NE.NE-a,Bibiʾa[]PN,NE NE A,
NE.NE-gar,NE.NE.ŋar[]MN,NE NE GAR,Nippur month-name 05
NE.NE.SI-še₃,NE.NE.SI[]PN,NE NE SI EŠ₂,
NI-NI-a,Bibiʾa[]PN,NI NI A,
NI-UD-MA-ta,Itama[]PN,NI UD MA TA,Atum?
NI-ZA-NI-lu₂-zi,Bizani[]PN,NI ZA NI LU₂ ZI,uncertain (Bizani + profession?); Amorites 18 (pl. 7) o iv 39 (copy)
NI-a,NI.a[]PN,NI A,Ia/Iaʾa?; Syracuse 480 r 1 (copy/photo)
NI-a-ma-ti,Iamati[]PN,NI A MA TI,uncertain; JCS 07 105 NCBT 1593 r 3 (copy)
NI-a-mi-iš{ki},Iamiš[]SN,NI A MI IŠ KI,"or, Iaʾamiš?; OrSP 05 53 17 Wengler 25 o 3 (translit)"
NI-a-ti-um,Iatiʾum[]PN,NI A TI UM,uncertain (Martu); AUCT 1 448 o 7 (copy/photo)
NI-a-um,Iaʾum[]PN,NI A UM,uncertain; MVN 13 396 r 10 (copy/photo)
NI-ba-ba,NI.ba.ba[]PN,NI BA BA,OIP 115 278 r 4 (photo)
NI-ba-ri{ki},NI.ba.ri{ki}[]SN,NI BA RI KI,= Iabru?; BPOA 7 1859 o 5' (no copy/photo)
NI-ba-um,NI.ba.um[]PN,NI BA UM,MVN 13 423 o 16 (copy/photo)
NI-da-ga,NI.da.ga[]PN,NI DA GA,Idaga/Iadaga?
NI-da-gal₂,Idaŋal[]PN,NI DA IG,
NI-da-ra-aš-PI{ki},NI.da.ra.aš.pi{ki}[]SN,NI DA RA AŠ PI KI,probly Hurrian SN (NI-da-ra-aš+gen?); ASJ 03 074 r 1 (copy)
NI-da-ra-aš-pi₂{ki},NI.da.ra.aš.pi₂{ki}[]SN,NI DA RA AŠ BI KI,probly Hurrian SN (NI-da-ra-aš+gen?); PDT 2 0959 o? i? 11' (no copy/photo)
NI-du-a,Iduʾa[]PN,NI DU A,uncertain; OIP 115 491 o 2 (photo)
NI-e₃,Iʾe[]PN,NI UD DU,
NI-in-mu,Ninŋu[]PN,NI IN MU,uncertain (may not be Sum.)
NI-la-ša-mar,NI.la.ša.mar[]PN,NI LA ŠA MAR,PPAC 4 154 o 3 (copy/photo)
NI-la-la,Ilala[]PN,NI LA LA,
NI-la-ti-a,Ilatiʾa[]PN,NI LA TI A,
NI-mu,NI.ŋu₁₀[]PN,NI MU,
NI-mu-ta,NI.ŋu₁₀[]PN,NI MU TA,
NI-ta,NI[]PN,NI TA,PDT 1 527 r 11 (no copy/photo)
NI-tam-ma,Itama[]PN,NI UD MA,
NI-tam-ma-ta,Itama[]PN,NI UD MA TA,
NI-u₂-rum,NI.u₂.rum[]PN,NI U₂ AŠ,SumTemDocs. 19 o 5 (copy)
NI-za,Niza[]PN,NI ZA,
NI.AN-bi₂-i₃-lum,NI.AN.NE.i₃.lum[]PN,NI AN NE NI LUM,Martu; TCL 2 5508 o 11 (copy/photo)
NI.AN-bu-li,NI.AN.bu.li[]PN,NI AN BU LI,Martu; TCL 2 5508 o 7 (copy/photo)
NI.HI{ki},NI.HI{ki}[]SN,NI HI KI,
NI.IG-ma,Niqma[]PN,NI IG MA,uncertain (< niqmu 'Mari MN'?); PDT 2 1077 o 3 (no copy/photo)
NI.UD-ma-ta,Itama[]PN,NI UD MA TA,
NIM-še₃,Elam[]GN,NIM EŠ₂,some refs may be adverbial/directional
NIM-e-ne-še₃,Elam[]GN,NIM E NE EŠ₂,
NIM-me,Elam[]GN,NIM ME,
NIM-zi-um{ki},Nimṣiʾum[]SN,NIM ZI UM KI,
NINA{ki},Niŋin[]SN,|AB×HA| KI,
NU-i₃-li₂,X.i₃.li₂[]PN,NU NI NI,OrSP 05 54 19 Wengler 27 r 18: mu-DU AN?/NU?-i3-li2 (copy)
Na-DI,Nadi[]PN,NA DI,< Akk. nadû?
Na-DI-ta,Nadi[]PN,NA DI TA,
Na-a-na,Nana[]PN,NA A NA,
Na-ab-ša-nu-um,Nabšanum[]PN,NA AB ŠA NU UM,
Na-ab-li-is-E₂-a,NaplisEa[]PN,NA AB LI GIŠ E₂ A,
Na-ab-li₂-is-E₂-a,NaplisEa[]PN,NA AB NI GIŠ E₂ A,
Na-ab-ni-ii-e₂-a,NaplisEa[]PN,NA AB NI I A E₂ A,typo; BIN 5 029 r 4: 1 udu Na-ap-li2-is-E2-a (copy)
Na-ab-ri₂-um,Nabriʾum[]PN,NA AB URU UM,
Na-ab-ri₂-um-še₃,Nabriʾum[]PN,NA AB URU UM EŠ₂,
Na-ab-ri₂-um-ka,Nabriʾum[]PN,NA AB URU UM KA,
Na-ah-bi-ir-MU,Nahbir[]PN,NA |HI×NUN| BI IR MU,STA 36 o 4: mu-DU Na-ah-bi-ir MU# (muhaldim?; copy)
Na-ah-šu-a,Nahšuʾa[]PN,NA |HI×NUN| ŠU A,
Na-ah-šum-BALA,Nahšumpalum[]PN,NA |HI×NUN| TAG BAL,"or, Nahšumpala? ('prosperous is the reign')"
Na-ah-šum-BALA{la},Nahšumpalum[]PN,NA |HI×NUN| TAG BAL LA,
Na-ah-šum-bala,Nahšumpalum[]PN,NA |HI×NUN| TAG BAL,
Na-ah-ha-ma-tal,Nahamatal[]PN,NA |HI×NUN| HA MA RI,= Nahapatal? (Hurrian); MVN 15 142 r 1 (copy/photo)
Na-ak-da-ma-ri,Nakdamatal[]PN,NA AK DA MA RI,Hurrian; TCL 2 5500 r i 1 (copy/photo)
Na-an-na,Na.an.na[]PN,NA AN NA,"NaʾAnak 'man of An'?, syll for {d}Nanna?, hypo?"
Na-ap-la-nu-um,Naplanum[]PN,NA AB LA NU UM,
Na-ap-la-nu-um-še₃,Naplanum[]PN,NA AB LA NU UM EŠ₂,
Na-ap-la-num,Naplanum[]PN,NA AB LA NIM,PDT 1 579 o 1 (no copy/photo); CDLI: na-ap-la-num2?
Na-ap-la-num₂,Naplanum[]PN,NA AB LA LUM,
Na-ap-la-num₂-še₃,Naplanum[]PN,NA AB LA LUM EŠ₂,
Na-ap-la-zum,Naplaṣum[]PN,NA AB LA ZUM,uncertain; Nik. 2 487 o 5 (copy)
Na-ap-sa-nu-um,Napsanum[]PN,NA AB SA NU UM,
Na-ba-li₂-is-E₂-a,NaplisEa[]PN,NA BA NI GIŠ E₂ A,
Na-ba-sa₂,Nabasa[]PN,NA BA DI,
Na-ba-sa₆,Nabasag[]PN,NA BA ŠA₆,
Na-ba-sa₆-ta,Nabasag[]PN,NA BA ŠA₆ TA,
Na-bi-lu₅,Nagalu[]PN,NA BI LUL,"BCT 1 130 r 14 (copy/photo), BJRL 08 409 JR 505 r 2 (copy/photo)"
Na-bi-{d}En-lil₂,NabiEnlil[]PN,NA BI AN EN KID,
Na-bi-{d}Suen,NabiSuʾen[]PN,NA BI AN EN ZU,
Na-bi₂-a,Nabiʾa[]PN,NA NE A,
Na-bi₂-um,Nabiʾum[]PN,NA NE UM,
Na-bi₂-{d}Šul-gi,NabiŠulgi[]PN,NA NE AN DUN GI,
Na-bi₂-{d}En-lil₂,NabiEnlil[]PN,NA NE AN EN KID,
Na-bi₂-{d}En-lil₂-la₂,NabiEnlil[]PN,NA NE AN EN KID LAL,MVN 03 294 o 3f: Na-bi2-{d}En-lil2-la2 / šu ba-an-ti (copy/photo)
Na-bi₂-{d}Suen,NabiSuʾen[]PN,NA NE AN EN ZU,
Na-bi₂-{d}Suen-ta,NabiSuʾen[]PN,NA NE AN EN ZU TA,
Na-da,Nada[]PN,NA DA,
Na-du-be-li₂,Nadubeli[]PN,NA DU BAD NI,Martu (Nadubaʾli?)
Na-du-be₂-li₂,Nadubeli[]PN,NA DU BI NI,typo; CTMMA 1 17 r i 22: Na-du-be-li2 ensi2 Ma2-gan{ki} (copy)
Na-ga-lu₅,Nagalu[]PN,NA GA LUL,BCT 1 131 o 4 (copy/photo)
Na-gi₄-zu,Nagizu[]PN,NA GI₄ ZU,
Na-gu-du,Nagudu[]PN,NA GU DU,
Na-ha-nu-um,Nahanum[]PN,NA HA NU UM,
Na-ha-pa₂-tal,Nahapatal[]PN,NA HA BA RI,= Nahamatal? (Hurrian)
Na-he₂-zi,Na.GAN.zi[]PN,NA GAN ZI,MVN 11 140 o 13 (copy/photo)
Na-hi-mu-um,Nahmum[]PN,NA HI MU UM,uncertain; MVN 18 098 o 2: lu2 Na-ah?/hi?-mu-um (copy/photo)
Na-lu-ta,Nalu[]PN,NA LU TA,typo; SET 105 o ii 14 (LU for LU5; photo)
Na-lu-uk,Nalug[]PN,NA LU |PIRIG×UD|,TAD 67 o 4: Na-lu-ug?# (possibly UG2; copy)
Na-lu₂-ta,Nalu[]PN,NA LU₂ TA,
Na-lu₅,Nalu[]PN,NA LUL,Nalug? (no Na-lu5-ge/ga occurs)
Na-lu₅-še₃,Nalu[]PN,NA LUL EŠ₂,
Na-lu₅-ta,Nalu[]PN,NA LUL TA,
Na-lu₅-ug₂,Nalug[]PN,NA LUL PIRIG,PDT 2 0807 o ii 3 (no copy/photo)
Na-lul,Nalu[]PN,NA LUL,
Na-me-er,Nawir[]PN,NA ME IR,ZA 80 28 r 5 (copy/photo)
Na-me-er-DINGIR,Nawirili[]PN,NA ME IR AN,"or, Nawirilum?"
Na-me-iš-me-DINGIR,Na.me.iš.me.DINGIR[]PN,NA ME IŠ ME AN,Martu; Nisaba 08 091 o ii 5 (no copy/photo)
Na-mu,Naŋu[]PN,NA MU,
Na-mu-tum,Namutum[]PN,NA MU TUM,
Na-na-ki-ga-ga,Nanakigaga[]PN,NA NA KI GA GA,TRU 041 r 3 (copy/photo)
Na-na-mu,Nanaŋu[]PN,NA NA MU,
Na-na-u₃,Nanaʾu[]PN,NA NA IGI DIB,< Uršu
Na-ni-bu,Nanipu[]PN,NA NI BU,Hurrian?; OIP 121 428 o i 1 (copy/photo)
Na-ni-pa₂-tal,Nanipatal[]PN,NA NI BA RI,Hurrian; OIP 121 428 o i 2 (copy/photo) & elsewhere
Na-ra-am-E₂-a,NaramEa[]PN,NA RA |GUD×KUR| E₂ A,
Na-ra-am-i₃-li₂,Naramili[]PN,NA RA |GUD×KUR| NI NI,
Na-ra-am-i₃-li₂-ka,Naramili[]PN,NA RA |GUD×KUR| NI NI KA,
Na-ra-am-i₃-li₂-ta,Naramili[]PN,NA RA |GUD×KUR| NI NI TA,
Na-ra-am-{d}IŠKUR,NaramAdad[]PN,NA RA |GUD×KUR| AN IM,
Na-ra-am-{d}Iškur,NaramAdad[]PN,NA RA |GUD×KUR| AN IM,
Na-ra-am-{d}Suen,NaramSuʾen[]PN,NA RA |GUD×KUR| AN EN ZU,
Na-ra-mu,Naramu[]PN,NA RA MU,"uncertain; CBCY 3, NBC 10045 seal: Na-ra-mu? (no copy/photo)"
Na-sa₆,Nasag[]PN,NA ŠA₆,
Na-sa₆-ga,Nasag[]PN,NA ŠA₆ GA,
Na-sa₆-ka,Nasag[]PN,NA ŠA₆ KA,
Na-sa₆-ra,Nasag[]PN,NA ŠA₆ RA,
Na-sa₆-ta,Nasag[]PN,NA ŠA₆ TA,
Na-ti,Nati[]PN,NA TI,= Natiʾum?
Na-ti-um,Natiʾum[]PN,NA TI UM,= Nati?
Na-wa-ar-še-en,Nawaršen[]PN,NA PI IGI RI ŠE EN,Hurrian
Na-wa-ar{ki},Nawar[]SN,NA PI IGI RI KI,
Na-wa-ar{ki}-ta,Nawar[]SN,NA PI IGI RI KI TA,
Na-wi-ir-DINGIR,Nawirili[]PN,NA PI IR AN,"or, Nawirilum?"
Na-wi-ir-DINGIR-ta,Nawirili[]PN,NA PI IR AN TA,
Na-wi-ir-{d}UTU,NawirŠamaš[]PN,NA PI IR AN UD,
Nam-ha-ni,Namhani[]PN,NAM HA NI,
Nam-ha-ni-bi,Namhani[]PN,NAM HA NI BI,"SET 096 o ii 33, 48, iii 56, 69: kišib Nam-ha-ni-bi ba-zi-ir (no copy/photo)"
Nam-ha-ni-ta,Namhani[]PN,NAM HA NI TA,
Nam-lugal-ni-du₁₀,Namlugalanidug[]PN,NAM LUGAL NI HI,
Nam-mah,Nammah[]PN,NAM MAH,
Nam-mah-{d}Ba-u₂,NammahBaʾu[]PN,NAM MAH AN BA U₂,
Nam-nin-e-he₂-du₇,Namninehedu[]PN,NAM SAL TUG₂ E GAN U GUD,
Nam-ti-eš₃-ta,Namtilešta[]PN,NAM TI AB TA,
Nam-tur,Namtur[]PN,NAM TUR,
Nam-zi-tar-ra,Namzitara[]PN,NAM ZI TAR RA,
Nam-zi-tar-ra-ta,Namzitara[]PN,NAM ZI TAR RA TA,
Nanna,Nanna[]DN,ŠEŠ KI,
Nar-zi,Narzi[]PN,LUL ZI,uncertain; never occurs with /d/ or /g/ auslaut
Nar-zi-ta,Narzi[]PN,LUL ZI TA,
Ne-be₂-er-{d}Amar-{d}Suen{ki},NeberAmarSuʾen[]SN,NE BI IR AN AMAR AN EN ZU KI,
Ne-be₂-er-{d}Šul-gi-ra,NeberŠulgi[]SN,NE BI IR AN DUN GI RA,
Ne-be₂-ru-um{ki},Neberum[]SN,NE BI RU UM KI,
Ne-gi-ne-hu-um-ki,Tikitinhum[]SN,NE GI NE HU UM KI,
Ne-im-zi-im,Nimṣiʾum[]SN,NE IM ZI IM,Nimṣum?
Ne-ra-ti,Birati[]PN,NE RA TI,
Ne-sag-i₃-sa₆,Nesaŋisag[]PN,NE SAG NI ŠA₆,
Ni-ba-ša₅,Nibaša[]PN,NI BA AK,
Ni-da-u₃-hi,Nidaʾuhi[]PN,NI DA IGI DIB HI,
Ni-hi{ki},NI.HI{ki}[]SN,NI HI KI,
Ni-iš-te-ni,Ništeni[]PN,NI IŠ TE NI,< Kimaš
Ni-ih-e-lu,Nihelu[]PN,NI |HI×NUN| E LU,Martu
Ni-im-zi,Nimzi[]PN,NI IM ZI,Nimṣi? (= Nemzum?)
Ni-kab{ki},Nikab[]SN,NI KAB KI,
Ni-la-ti-a,Nilatiʾa[]PN,NI LA TI A,Martu
Ni-li-e,Niliʾe[]PN,NI LI E,Martu
Ni-mu-du,Nimudu[]PN,NI MU DU,
Ni-na-wi-ir,Inawwir[]PN,NI NA PI IR,uncertain; PDT 2 0807 o ii 12 (no copy/photo)
Ni-ni-ta,NI.NI[]PN,NI NI TA,Nisaba 08 034 o ii 15' (no copy/photo)
Ni-nu-a-še₃,Ninua[]SN,NI NU A EŠ₂,
Ni-nu-a{ki},Ninua[]SN,NI NU A KI,
Ni-nu₂-a{ki},Ninua[]SN,NI NA₂ A KI,
Ni-ra:da-aš-we{ki},Niradašwe[]SN,NI RA:DA AŠ PI KI,Hurrian genitive
Ni-tam-ma,Itama[]PN,NI UD MA,
Ni-zi-id-a-nu-um,Nizidanum[]PN,NI ZI A₂ A NU UM,Martu
Nibru,Nibru[]SN,EN KID,
Nibru-še₃,Nibru[]SN,EN KID EŠ₂,
Nibru-ki,Nibru[]SN,EN KID KI,
Nibru.ki,Nibru[]SN,EN KID KI,
Nibruki,Nibru[]SN,NIBRUKI,
Nibru{ki},Nibru[]SN,EN KID KI,
Nibru{ki}-a,Nibru[]SN,EN KID KI A,
Nibru{ki}-še₃,Nibru[]SN,EN KID KI EŠ₂,
Nibru{ki}-ka,Nibru[]SN,EN KID KI KA,
Nibru{ki}-ka-še₃,Nibru[]SN,EN KID KI KA EŠ₂,
Nibru{ki}-me,Nibru[]SN,EN KID KI ME,
Nibru{ki}-ta,Nibru[]SN,EN KID KI TA,
Nig₂-bi,Niŋbi[]PN,GAR BI,
Nig₂-du₁₁-ga-ni,Niŋdugani[]PN,GAR KA GA NI,
Nig₂-erim₂-ga-sug-ga,Niŋerimgasuga[]PN,GAR NE RU GA |LAGAB×A| GA,
Nig₂-gur₁₁-in-zu,Niŋgurinzu[]PN,GAR GA IN ZU,
Nig₂-lagar-e,Niŋlagare[]PN,GAR LAGAR E,
Nig₂-mu-mu-kal-le,Niŋŋumukale[]PN,GAR MU MU KAL LI,
Nig₂-sa₆-ga,Niŋsaga[]PN,GAR ŠA₆ GA,
Nig₂-si-sa₂-e,Niŋsisaʾe[]PN,GAR SI DI E,
Nig₂-u₂-rum,Niŋurum[]PN,GAR U₂ AŠ,
Nig₂-{d}Ba-u₂,NiŋBaʾuk[]PN,GAR AN BA U₂,
Nig₂-{d}Ba-u₂-gen₇-ta,NiŋBaʾukgin[]PN,GAR AN BA U₂ DIM₂ TA,
Nig₂-{d}Ba-u₂-ke₄,NiŋBaʾuk[]PN,GAR AN BA U₂ KID,
Nigar{gar}-ki-du₁₀[]PN,Niŋarkidug[]PN,U UD KID GAR KI DU₁₀PN,
Nim-zi₂-um{ki},Nimṣiʾum[]SN,NIM ZE₂ UM KI,
Nimgir-DI.NE,Niŋirdide[]PN,DUN₃@G@G DI NE,uncertain
Nig₂-erim₂-ga-ru-ga,Niŋerimgaruga[]PN,GAR NE RU GA RU GA,
Nimgir-inim-ge-na,Niŋirinimginak[]PN,DUN₃@G@G KA GI NA,
Nin-IG-DUL₃,Nin.IG.SAG@g[]PN,SAL TUG₂ IG SAG@G,UDT 097 r 6 (copy/photo)
Nin-NE-na-BA,Ninbinaba[]PN,SAL TUG₂ NE NA BA,uncertain; PDT 1 335 r 4 (no copy/photo)
Nin-TE,Nin.TE[]PN,SAL TUG₂ TE,
Nin-a-na,Ninanak[]PN,SAL TUG₂ A NA,"or, Ninana? (121 Girsu, 1 PD)"
Nin-a-zu,Ninazu[]DN,SAL TUG₂ A ZU,
Nin-a₂-zi-da,Ninazida[]PN,SAL TUG₂ A₂ ZI DA,"or, Ninazidak?"
Nin-šu-gi₄-gi₄,Ninšugigi[]PN,SAL TUG₂ ŠU GI₄ GI₄,
Nin-ha-ma-ti,Ninhamatil[]PN,SAL TUG₂ HA MA TI,
Nin-he₂-du₇,Ninhedu[]PN,SAL TUG₂ GAN U GUD,
Nin-he₂-gal₂-,Ninheŋal[]PN,SAL TUG₂ GAN IG,typo; UTI 6 3757 r 11 (no copy/photo)
Nin-hur-sag,Ninhursaŋak[]DN,SAL TUG₂ |HI×AŠ₂| SAG,
Nin-inim-ge-na,Nininimginak[]PN,SAL TUG₂ KA GI NA,
Nin-kal-la,Ninkala[]PN,SAL TUG₂ KAL LA,
Nin-kal-la-še₃,Ninkala[]PN,SAL TUG₂ KAL LA EŠ₂,
Nin-ku₃-zu,Ninkugzu[]PN,SAL TUG₂ KU₃ ZU,
Nin-lil₂-ama-mu,Ninlilamaŋu[]PN,SAL TUG₂ KID |GA₂×AN| MU,
Nin-lil₂-la₂,Ninlil[]DN,SAL TUG₂ KID LAL,
Nin-mu-kuX,Nin.mu.DU[]PN,SAL TUG₂ MU KUX,PDT 2 1050 r 14 (no copy/photo)
Nin-u₃-kul-e-ki-ag₂,Ninukulekiʾaŋ[]PN,SAL TUG₂ IGI DIB KUL E KI |NINDA₂×NE|,
Nin-u₃-kul-ki-ag₂,Ninukulekiʾaŋ[]PN,SAL TUG₂ IGI DIB KUL KI |NINDA₂×NE|,
Nin-u₃-ma,Ninuma[]PN,SAL TUG₂ IGI DIB MA,Ninumak?
Nin-uru-ni-še₃-ta,Niniriniše[]PN,SAL TUG₂ URU NI EŠ₂ TA,
Nin-{u₂}kul-ne₂-ki-ag₂,Ninukulekiʾaŋ[]PN,SAL TUG₂ U₂ KUL NI KI |NINDA₂×NE|,
Nin₉-kal-la,Ninkala[]PN,SAL KU KAL LA,
Nin₉-tur-tur,Ninturtur[]PN,SAL KU TUR TUR,
Nin₉-tur-tur-še₃,Ninturtur[]PN,SAL KU TUR TUR EŠ₂,
Nin₉-tur-tur-ra,Ninturtur[]PN,SAL KU TUR TUR RA,
Nippur{ki},Nibru[]SN,NIPPUR KI,
Nir-i₃-da-gal₂,Niridaŋal[]PN,|NUN&NUN| NI DA IG,
Nir-i₃-da-gal₂-ta,Niridaŋal[]PN,|NUN&NUN| NI DA IG TA,
Nir₃-i₃-da-gal₂,Niridaŋal[]PN,ZA NIM NI DA IG,typo; RA 10 210 BM 103413 o ii 28 (NIR3 for NIR; copy)
Nita-mu,Ušŋu[]PN,UŠ MU,
Nu-ba-an,Nuban[]PN,NU BA AN,
Nu-da-tum,Nudatum[]PN,NU DA TUM,
Nu-ga-ar{ki},Nugar[]SN,NU GA IGI RI KI,
Nu-gi-ra-nu-um,Nugiranum[]PN,NU GI RA NU UM,Martu
Nu-hi-DINGIR,Nuhilum[]PN,NU HI AN,
Nu-hi-DINGIR-ta,Nuhilum[]PN,NU HI AN TA,
Nu-hi-lum,Nuhilum[]PN,NU HI LUM,
Nu-hi-lum-ta,Nuhilum[]PN,NU HI LUM TA,
Nu-i-da,Nuʾida[]PN,NU I DA,
Nu-i₃-da,Nuʾida[]PN,NU NI DA,
Nu-i₃-da-še₃,Nuʾida[]PN,NU NI DA EŠ₂,
Nu-i₃-da-ke₄-ne-še₃,Nuʾida[]PN,NU NI DA KID NE EŠ₂,
Nu-i₃-da-ta,Nuʾida[]PN,NU NI DA TA,
Nu-me-ur-zu,Numetešzu[]PN,NU ME UR ZU,
Nu-mu-du-um,Numudum[]PN,NU MU DU UM,
Nu-ri-a-a,Nuriʾaya[]PN,NU RI A A,hypo?
Nu-tin-DINGIR,Nuhilum[]PN,NU DIN AN,
Nu-tur,Nutur[]TN,NU TUR,epithet of Ninhursaŋ
Nu-tur-ra,Nutur[]TN,NU TUR RA,
Nu-u₃-tur,Nutur[]TN,NU IGI DIB TUR,
Nu-uk-ra-nu-um,Nukranum[]PN,NU |PIRIG×UD| RA NU UM,Martu
Nu-ur-i₃-li₂,Nurili[]PN,NU UR NI NI,
Nu-ur-{d}Suen,NurSuʾen[]PN,NU UR AN EN ZU,"typo; Nisaba 15/2 0708 r 1 (UR for UR2; photo), PPAC 4 078 r 4 (UR for UR2; copy/photo)"
Nu-ur₂-Eš₄-tar₂,NurEštar[]PN,NU UR₂ DIŠ DAR,86 PD entries; likely all have EŠ18(AŠ@z) not EŠ4(DIŠ)
Nu-ur₂-Ma-ma,NurMama[]PN,NU UR₂ MA MA,
Nu-ur₂-i₃-li₂,Nurili[]PN,NU UR₂ NI NI,
Nu-ur₂-i₃-li₂-ta,Nurili[]PN,NU UR₂ NI NI TA,
Nu-ur₂-ištar,NurEštar[]PN,NU UR₂ MUŠ₃,
Nu-ur₂-ma-ti-šu,Nurmatišu[]PN,NU UR₂ MA TI ŠU,
Nu-ur₂-ra,Nura[]PN,NU UR₂ RA,sagi; 2 citations (AS 09-12-08)
Nu-ur₂-ra-a,Nura[]PN,NU UR₂ RA A,sagi; 1 citation (AS 09-12d-08)
Nu-ur₂-tu-tu,NurTutu[]PN,NU UR₂ TU TU,
Nu-ur₂-zu,Nurzu[]PN,NU UR₂ ZU,
Nu-ur₂-zu-bi,Nurzu[]PN,NU UR₂ ZU BI,AnOr 07 166 o 6: [DUB Nu-u]r2-zu-bi nu-ŋal2; r 11f: DUB Nu-ur2-zu-bi ... i3-ŋal2 (copy/photo)
Nu-ur₂-zu-ka,Nurzu[]PN,NU UR₂ ZU KA,
Nu-ur₂-zu-ta,Nurzu[]PN,NU UR₂ ZU TA,
